song_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,cluster_id,movie,name
1250,0.887,0.499,0.71,0.74,0.33,0.25,0.493,0,For a Few Dollars More,To El Paso 
240,0.031,0.743,0.747,0,0.2,0.0374,0.691,1,Se7en,Speaking of Happiness 
269,0.00802,0.706,0.785,0.0319,0.195,0.041,0.636,1,The Silence of the Lambs,Rock of Ages 
1441,0.0293,0.726,0.769,0.0101,0.104,0.123,0.733,1,Casino,Unforgettable 
1818,0.0175,0.7,0.62,3.30E-06,0.0891,0.0797,0.739,1,Fargo,Big City 
1978,0.00644,0.69,0.799,1.76E-05,0.103,0.111,0.688,1,Mr. Smith Goes to Washington,O Bury Me Not On the Lone Prairie 
2335,0.0448,0.707,0.724,0,0.072,0.051,0.659,1,Spotlight,Myself in You 
2339,0.0448,0.707,0.724,0,0.072,0.051,0.659,1,Spotlight,"Brandenburg Concerto No. 3, 3rd mvmt: Allegro "
2354,0.0306,0.639,0.666,0,0.159,0.226,0.712,1,Groundhog Day,La Bourrée du Célibataire 
2646,0.0287,0.773,0.776,3.22E-06,0.237,0.0432,0.619,1,Leyla and Mecnun,LEYLA 
2697,0.0311,0.654,0.726,6.35E-05,0.0618,0.0401,0.728,1,The Grand Tour,Come with Me Now 
84,0.941,0.137,0.0625,0.926,0.277,0.04,0.0365,2,The Lord of the Rings: The Fellowship of the Ring,To The Bottle I Go 
1185,0.959,0.0865,0.0307,0.949,0.197,0.0515,0.0329,2,Heat,Steel Cello Lament 
1249,0.986,0.162,0.066,0.904,0.289,0.0277,0.0383,2,For a Few Dollars More,Indio's Flashback 
1256,0.908,0.147,0.000576,0.904,0.244,0.0478,0.0355,2,For a Few Dollars More,Indio & Nino 
1630,0.905,0.103,0.128,0.916,0.157,0.0435,0.034,2,Raging Bull,Guglielmo Ratcliff: Intermezzo 
1675,0.87,0.0736,0.0992,0.917,0.206,0.0456,0.0291,2,V for Vendetta,Bird Gerhl 
1678,0.87,0.0736,0.0992,0.917,0.206,0.0456,0.0291,2,V for Vendetta,Out of Sight 
66,0.865,0.499,0.133,0.0308,0.102,0.0308,0.281,3,Pulp Fiction,Lonesome Town 
197,0.86,0.568,0.221,7.32E-05,0.0958,0.0576,0.337,3,Goodfellas,Happy Birthday to You 
762,0.907,0.431,0.142,3.36E-05,0.138,0.0543,0.308,3,Amadeus,Die Zauberflöte (The Magic Flute) Act 2 - Ein Mädchen Oder Weibchen 
1660,0.838,0.543,0.125,1.20E-05,0.116,0.0328,0.268,3,Raging Bull,That's My Desire 
1871,0.879,0.448,0.168,0,0.114,0.0359,0.413,3,Catch Me If You Can,Leaving on a Jet Plane 
2137,0.964,0.43,0.106,0.0575,0.12,0.0354,0.352,3,Rocky,"Silent Night, Holy Night "
2385,0.879,0.478,0.177,0,0.091,0.0476,0.217,3,Before Sunset,An Ocean Apart 
2398,0.862,0.492,0.181,0.0778,0.129,0.0307,0.279,3,Cool Hand Luke,Plastic Jesus 
2430,0.895,0.488,0.133,0,0.0595,0.0362,0.289,3,The Sound of Music,Sixteen Going on Seventeen 
2435,0.848,0.548,0.153,4.09E-05,0.124,0.0501,0.359,3,The Sound of Music,"So Long, Farewell "
2499,0.83,0.454,0.136,0,0.226,0.0782,0.392,3,Beauty and the Beast,Human Again 
2557,0.842,0.388,0.128,1.07E-06,0.103,0.0338,0.299,3,The Wire,The Fall 
3017,0.871,0.38,0.151,5.54E-05,0.128,0.0409,0.286,3,Horace and Pete,It looks like we don't have any Soundtracks for this title yet.
168,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4,The Matrix,Dragula (Hot Rod Herman Mix) 
169,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4,The Matrix,Leave You Far Behind (Lunatics Roller Coaster Mix) 
170,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4,The Matrix,Mindfields 
171,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4,The Matrix,Prime Audio Soup 
172,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4,The Matrix,Clubbed To Death (Kurayamino Mix) 
174,0.000509,0.434,0.568,0.849,0.151,0.0318,0.039,4,The Matrix,Begin the Run 
177,0.000581,0.431,0.557,0.845,0.144,0.0319,0.0395,4,The Matrix,Wake Up 
2637,0.000226,0.366,0.471,0.868,0.0673,0.0363,0.037,4,Succession,It looks like we don't have any Soundtracks for this title yet.
2987,0.00327,0.46,0.458,0.882,0.157,0.0264,0.0401,4,The Punisher,It looks like we don't have any Soundtracks for this title yet.
2993,0.00172,0.52,0.652,0.862,0.125,0.0503,0.0372,4,X-Men: The Animated Series,X-Men Main Theme 
124,0.954,0.48,0.173,0.901,0.0991,0.0288,0.117,5,Forrest Gump,Silent Night 
242,0.99,0.339,0.209,0.928,0.121,0.0386,0.113,5,Seven Samurai,It looks like we don't have any Soundtracks for this title yet.
318,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Daremoinai ryôri-ten 
320,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Ryû no shônen 
322,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Kamisama-tachi 
324,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Yuya no asa 
326,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Shigoto wa tsurai ze 
327,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Okusare-gami 
328,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Sen no yûki 
329,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Sokonashi ana 
333,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Numa no soko no ie 
335,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Kaeru hi 
337,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5,Spirited Away,Paradise 
887,0.93,0.43,0.232,0.872,0.122,0.0399,0.0424,5,Requiem for a Dream,Summer Overture 
1075,0.927,0.488,0.237,0.911,0.111,0.0286,0.164,5,The Apartment,Lonely Room 
1077,0.927,0.488,0.237,0.911,0.111,0.0286,0.164,5,The Apartment,Little Brown Jug 
1083,0.975,0.47,0.195,0.93,0.143,0.0318,0.154,5,To Kill a Mockingbird,It looks like we don't have any Soundtracks for this title yet.
1295,0.955,0.432,0.214,0.929,0.108,0.0434,0.176,5,The Father,Low Mist Var. 2 - Day 1 
1296,0.961,0.427,0.189,0.95,0.11,0.0454,0.162,5,The Father,Low Mist Var. 2 - Day 5 
