song_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,cluster_id
0.0,0.984,0.269,0.0492,7.46e-06,0.246,0.055,0.111,416.0
1.0,0.534,0.0821,0.159,0.958,0.119,0.04,0.0622,178.0
2.0,0.102,0.079,0.149,0.915,0.111,0.0486,0.111,488.0
3.0,0.242,0.674,0.188,0.0163,0.0434,0.497,0.796,376.0
4.0,0.97,0.0,0.0431,0.00232,0.213,0.0,0.0,45.0
5.0,0.64,0.214,0.297,0.302,0.0418,0.0351,0.135,25.0
6.0,0.651,0.295,0.304,1.68e-06,0.343,0.0331,0.317,361.0
7.0,0.991,0.559,0.034,0.933,0.101,0.0789,0.43,378.0
8.0,0.918,0.197,0.102,0.821,0.0722,0.0394,0.04,192.0
9.0,0.64,0.214,0.297,0.302,0.0418,0.0351,0.135,25.0
10.0,0.64,0.214,0.297,0.302,0.0418,0.0351,0.135,25.0
11.0,0.927,0.198,0.221,0.92,0.0797,0.0355,0.0851,162.0
12.0,0.64,0.214,0.297,0.302,0.0418,0.0351,0.135,25.0
13.0,0.000362,0.436,0.893,0.0,0.103,0.0556,0.0794,310.0
14.0,0.771,0.0921,0.22,0.953,0.102,0.0326,0.184,101.0
15.0,0.927,0.198,0.221,0.92,0.0797,0.0355,0.0851,162.0
16.0,0.962,0.425,0.148,0.0,0.141,0.0796,0.226,155.0
17.0,0.918,0.191,0.238,0.947,0.112,0.0335,0.142,162.0
18.0,0.64,0.214,0.297,0.302,0.0418,0.0351,0.135,25.0
19.0,0.927,0.198,0.221,0.92,0.0797,0.0355,0.0851,162.0
20.0,0.64,0.214,0.297,0.302,0.0418,0.0351,0.135,25.0
21.0,0.512,0.158,0.28,0.673,0.11,0.0427,0.0375,26.0
22.0,0.512,0.158,0.28,0.673,0.11,0.0427,0.0375,26.0
23.0,0.512,0.158,0.28,0.673,0.11,0.0427,0.0375,26.0
24.0,0.716,0.43,0.417,0.574,0.246,0.0399,0.295,59.0
25.0,0.818,0.167,0.383,0.973,0.0853,0.0312,0.534,131.0
26.0,0.854,0.545,0.555,0.862,0.219,0.056,0.742,198.0
27.0,0.87,0.172,0.13,0.631,0.132,0.0376,0.0479,34.0
28.0,0.64,0.214,0.297,0.302,0.0418,0.0351,0.135,25.0
29.0,0.991,0.559,0.034,0.933,0.101,0.0789,0.43,378.0
30.0,0.917,0.147,0.223,0.738,0.164,0.0388,0.0423,34.0
31.0,0.64,0.214,0.297,0.302,0.0418,0.0351,0.135,25.0
32.0,0.64,0.214,0.297,0.302,0.0418,0.0351,0.135,25.0
33.0,0.64,0.214,0.297,0.302,0.0418,0.0351,0.135,25.0
34.0,0.929,0.862,0.446,0.0938,0.166,0.449,0.853,141.0
35.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
36.0,0.19,0.511,0.49,4.87e-05,0.36,0.0348,0.385,129.0
37.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
38.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
39.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
40.0,0.989,0.171,0.007,0.000407,0.121,0.0462,0.0641,45.0
41.0,0.991,0.565,0.0252,0.0,0.142,0.0343,0.34,470.0
42.0,0.988,0.214,0.151,0.826,0.116,0.0379,0.229,42.0
43.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
44.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
45.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
46.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
47.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
48.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
49.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
50.0,0.859,0.142,0.113,0.838,0.107,0.0415,0.0697,192.0
51.0,0.914,0.312,0.031,8.81e-06,0.0949,0.037,0.0399,416.0
52.0,0.947,0.584,0.24,0.000246,0.0571,0.452,0.863,141.0
53.0,0.756,0.269,0.137,4.9e-05,0.0828,0.039,0.376,39.0
54.0,0.922,0.0798,0.129,0.784,0.168,0.0446,0.0319,192.0
55.0,0.949,0.144,0.0307,0.82,0.0898,0.0372,0.0358,127.0
56.0,0.89,0.218,0.207,0.918,0.0891,0.035,0.155,42.0
57.0,0.516,0.474,0.915,0.923,0.262,0.0479,0.463,384.0
58.0,0.694,0.581,0.687,7.05e-05,0.305,0.15,0.892,217.0
59.0,0.0815,0.774,0.862,4.21e-06,0.356,0.127,0.666,73.0
60.0,0.269,0.73,0.622,0.00874,0.111,0.0532,0.752,347.0
61.0,0.694,0.581,0.687,7.05e-05,0.305,0.15,0.892,217.0
62.0,0.66,0.687,0.455,3.64e-05,0.137,0.0265,0.457,94.0
63.0,0.394,0.401,0.498,0.0,0.13,0.0757,0.816,83.0
64.0,0.0118,0.481,0.483,0.938,0.0873,0.0273,0.446,342.0
65.0,0.694,0.581,0.687,7.05e-05,0.305,0.15,0.892,217.0
66.0,0.865,0.499,0.133,0.0308,0.102,0.0308,0.281,3.0
67.0,0.908,0.606,0.703,0.854,0.0714,0.033,0.881,209.0
68.0,0.41,0.389,0.451,0.947,0.173,0.0314,0.447,485.0
69.0,0.0145,0.33,0.909,0.754,0.244,0.0384,0.471,154.0
70.0,0.671,0.555,0.377,0.0,0.128,0.0295,0.619,7.0
71.0,0.694,0.581,0.687,7.05e-05,0.305,0.15,0.892,217.0
72.0,0.229,0.561,0.674,0.00334,0.123,0.0261,0.646,260.0
73.0,0.954,0.489,0.144,0.00051,0.138,0.0274,0.123,155.0
74.0,0.668,0.701,0.56,1.62e-06,0.0364,0.0549,0.953,90.0
75.0,0.0145,0.33,0.909,0.754,0.244,0.0384,0.471,154.0
76.0,0.000163,0.544,0.819,0.798,0.536,0.0343,0.852,370.0
77.0,0.694,0.581,0.687,7.05e-05,0.305,0.15,0.892,217.0
78.0,0.00867,0.691,0.865,0.000182,0.13,0.0614,0.788,237.0
79.0,0.485,0.507,0.337,0.00254,0.0536,0.0561,0.67,483.0
80.0,0.911,0.0671,0.0777,0.852,0.0947,0.0424,0.0382,127.0
81.0,0.934,0.131,0.137,0.485,0.087,0.0387,0.0465,185.0
82.0,0.974,0.215,0.169,0.0585,0.0907,0.0402,0.0547,397.0
83.0,0.979,0.104,0.111,0.926,0.11,0.0517,0.039,127.0
84.0,0.941,0.137,0.0625,0.926,0.277,0.04,0.0365,2.0
85.0,0.943,0.45,0.0142,0.196,0.101,0.0371,0.158,17.0
86.0,0.787,0.304,0.657,0.954,0.113,0.0824,0.102,191.0
87.0,0.826,0.134,0.474,0.58,0.195,0.0518,0.133,274.0
88.0,0.77,0.714,0.62,0.0,0.142,0.0283,0.51,94.0
89.0,0.0888,0.701,0.417,0.000648,0.375,0.0329,0.186,367.0
90.0,0.769,0.365,0.354,0.883,0.563,0.0338,0.923,275.0
91.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
92.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
93.0,0.993,0.639,0.105,0.91,0.0618,0.0607,0.455,378.0
94.0,0.958,0.11,0.122,0.871,0.0758,0.038,0.039,127.0
95.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
96.0,0.876,0.205,0.265,0.847,0.141,0.0371,0.311,253.0
97.0,0.715,0.664,0.593,0.0,0.0653,0.0286,0.819,99.0
98.0,0.468,0.679,0.282,0.0,0.189,0.0285,0.251,319.0
99.0,0.0128,0.618,0.588,0.0266,0.351,0.0735,0.768,49.0
100.0,0.00524,0.629,0.619,0.0188,0.109,0.0315,0.88,208.0
101.0,0.245,0.667,0.599,0.0,0.107,0.0291,0.971,484.0
102.0,0.793,0.608,0.513,1.39e-05,0.107,0.0467,0.796,99.0
103.0,0.466,0.402,0.642,0.0,0.0556,0.0406,0.548,462.0
104.0,0.402,0.567,0.745,0.0,0.0873,0.0264,0.903,433.0
105.0,0.0888,0.701,0.417,0.000648,0.375,0.0329,0.186,367.0
