song_name,artist,pos_percent,spotify_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Eaten,Bloodbath,0.56846473,54cBqIDAX3dH5Ys1DKgDWR,9.96E-05,0.407,0.967,0,0.103,0.0576,0.198
When Satan Rules His World,Deicide,0.103603604,7LT3QUoDK30xIT15TBTJcM,2.90E-05,0.255,0.915,0.578,0.0594,0.0694,0.491
Make Them Suffer,Cannibal Corpse,0.132678133,1zXTJp4mMwu2y69LajfzFK,0.00146,0.297,0.973,0.918,0.139,0.151,0.234
"No Guts, No Glory",Bolt Thrower,0.506410256,5tUxhJPbbOB4vEwm7ax1m2,1.45E-06,0.348,0.957,0.934,0.378,0.0875,0.196
Maze of Torment,Morbid Angel,0.174876847,7t5riom6kdqXkb1VzTlAaH,5.71E-06,0.201,0.98,0.163,0.119,0.125,0.0958
Slit Your Guts,Cryptopsy,0.635220126,0Tl3FQ3VoxrbaAOIshwsfM,4.64E-06,0.249,0.977,0.88,0.355,0.208,0.308
Clarity Through Deprivation,Suffocation,0.35645933,4Le2HJBkILI93BfPLhFa0R,0.000976,0.47,0.988,0.56,0.274,0.185,0.192
From Womb to Waste,Dying Fetus,0.256637168,7juCZpPi4C3Lsr8jiCfVVT,0.00252,0.299,0.955,0.116,0.0712,0.101,0.497
The Essential Salts,Nile,0.198795181,1uCPXHDxNd4IrRVMne9uNa,1.57E-05,0.483,0.959,0.83,0.534,0.106,0.109
Leprosy,Death,0.304195804,6QzjXmQ1mHNYHrwNurA9vJ,1.97E-06,0.222,0.985,0.109,0.0592,0.136,0.0984
Visions in My Head,Obituary,0.446808511,1JvMOOYZjXLQCZ5p5b0JJD,7.71E-06,0.5,0.89,0.00307,0.112,0.0859,0.174
Thrasher's Abattoir,Carcass,0.186397985,6nMfqMqE6K37UlAx7Xpwm4,3.10E-06,0.148,0.998,0.184,0.184,0.232,0.0615
Once Upon the Cross,Deicide,0.218461538,3fsOBwBwxBB4j1IFhh3s9V,1.93E-05,0.205,0.95,0.805,0.212,0.132,0.314
I Cum Blood,Cannibal Corpse,0.215384615,3bQoMbPYOvvseHaSOWAQ3Q,8.35E-05,0.338,0.988,0.833,0.0377,0.0865,0.449
The Killchain,Bolt Thrower,0.112328767,7ijzfPlrrszfIllGC2FHgO,1.43E-06,0.402,0.86,0.895,0.103,0.039,0.427
Day of Suffering,Morbid Angel,0.082802548,2M39Q7j8nPEUDFbI9N7dYv,0.00796,0.353,0.822,0.00108,0.192,0.0667,0.495
Blinded By Fear,At The Gates,0.054744526,2pj2VXKSBRTmV8nuiaCKd2,6.81E-06,0.247,0.995,0.944,0.172,0.177,0.0471
Infecting the Crypts,Suffocation,0.06984127,0rBMYJyYoQIX6ehQA3oTaM,0.000118,0.355,0.934,0.926,0.323,0.105,0.658
In the Trenches,Dying Fetus,0.192771084,36YSMRcddGQIFBuYnvZOMv,0.00167,0.298,0.946,0.0628,0.349,0.0733,0.628
Full Of Hell,Entombed,0.282511211,5qFcwQIJCDtO0XM5BTn57y,6.45E-06,0.212,0.86,0.188,0.125,0.052,0.608
A Moment of Clarity,Death,0.632411067,12hBZJPHjp9q4s8s9jwYQX,9.84E-05,0.325,0.986,0.0324,0.347,0.181,0.152
Body Bag,Obituary,0.048295455,5oXLtUCb5sEXR1lCuc1HVP,1.96E-05,0.312,0.988,0.0319,0.223,0.146,0.0487
Foul Body Autopsy,Necrophagist,0.168539326,1oazD67Vjp39I8cptdhgel,5.40E-06,0.409,0.976,0.585,0.0823,0.29,0.0653
Oblivious to Evil,Deicide,0.122762148,2C3W424vvtwNPVA2o2aJXe,0.000163,0.342,0.98,0.0246,0.117,0.17,0.115
Gutted,Cannibal Corpse,0.218508997,42es8ZJzFiOvjLR1yv0Sn7,8.18E-05,0.358,0.977,0.924,0.103,0.0727,0.449
For Victory,Bolt Thrower,0.268882175,5ZZqPBNUHwGYVKS6ucjjNH,1.58E-06,0.129,0.952,0.827,0.0317,0.0959,0.0808
Chapel of Ghouls,Morbid Angel,0.110311751,7jok5zvxnrQuK2N7psZHyN,3.29E-06,0.177,0.965,0.548,0.11,0.0809,0.203
Cry My Name,Bloodbath,0.262839879,6TdBSGnJtu3ISOKg7dfEnm,1.66E-06,0.423,0.952,0.934,0.124,0.0979,0.156
