song_name,artist,spotify_id,overall_positiveness_score
Eaten,Bloodbath,54cBqIDAX3dH5Ys1DKgDWR,0.56846473
When Satan Rules His World,Deicide,7LT3QUoDK30xIT15TBTJcM,0.103603604
Make Them Suffer,Cannibal Corpse,1zXTJp4mMwu2y69LajfzFK,0.132678133
"No Guts, No Glory",Bolt Thrower,5tUxhJPbbOB4vEwm7ax1m2,0.506410256
Maze of Torment,Morbid Angel,7t5riom6kdqXkb1VzTlAaH,0.174876847
Slit Your Guts,Cryptopsy,0Tl3FQ3VoxrbaAOIshwsfM,0.635220126
Clarity Through Deprivation,Suffocation,4Le2HJBkILI93BfPLhFa0R,0.35645933
From Womb to Waste,Dying Fetus,7juCZpPi4C3Lsr8jiCfVVT,0.256637168
The Essential Salts,Nile,1uCPXHDxNd4IrRVMne9uNa,0.198795181
Leprosy,Death,6QzjXmQ1mHNYHrwNurA9vJ,0.304195804
Visions in My Head,Obituary,1JvMOOYZjXLQCZ5p5b0JJD,0.446808511
Thrasher's Abattoir,Carcass,6nMfqMqE6K37UlAx7Xpwm4,0.186397985
Once Upon the Cross,Deicide,3fsOBwBwxBB4j1IFhh3s9V,0.218461538
I Cum Blood,Cannibal Corpse,3bQoMbPYOvvseHaSOWAQ3Q,0.215384615
The Killchain,Bolt Thrower,7ijzfPlrrszfIllGC2FHgO,0.112328767
Day of Suffering,Morbid Angel,2M39Q7j8nPEUDFbI9N7dYv,0.082802548
Blinded By Fear,At The Gates,2pj2VXKSBRTmV8nuiaCKd2,0.054744526
Infecting the Crypts,Suffocation,0rBMYJyYoQIX6ehQA3oTaM,0.06984127
In the Trenches,Dying Fetus,36YSMRcddGQIFBuYnvZOMv,0.192771084
Full Of Hell,Entombed,5qFcwQIJCDtO0XM5BTn57y,0.282511211
A Moment of Clarity,Death,12hBZJPHjp9q4s8s9jwYQX,0.632411067
Body Bag,Obituary,5oXLtUCb5sEXR1lCuc1HVP,0.048295455
Foul Body Autopsy,Necrophagist,1oazD67Vjp39I8cptdhgel,0.168539326
Oblivious to Evil,Deicide,2C3W424vvtwNPVA2o2aJXe,0.122762148
Gutted,Cannibal Corpse,42es8ZJzFiOvjLR1yv0Sn7,0.218508997
For Victory,Bolt Thrower,5ZZqPBNUHwGYVKS6ucjjNH,0.268882175
Chapel of Ghouls,Morbid Angel,7jok5zvxnrQuK2N7psZHyN,0.110311751
Cry My Name,Bloodbath,6TdBSGnJtu3ISOKg7dfEnm,0.262839879
Fostering the Divide,Immolation,4F1yCWySqmR7FkMOfPuyIX,0.170818505
Compulsion for Cruelty,Dying Fetus,6qyjlMANn1diSEIlXQLm50,0.091872792
Stranger Aeons,Entombed,6sW4cDGHnul55JYRWPJsWh,0.263157895
Empty Words,Death,5XWpYr8V9DxbmH0Njtsfhq,0.528384279
Infected,Obituary,2e83Z7NX9uVK6xtIcLNPT7,0.163814181
Blood Mantra,Decapitated,1Weh9oESUGgWBzL9wXlhHC,0.477987421
Homage For Satan,Deicide,5mYlI12Gf0egAuUc8RRryZ,0.466666667
Murderous Rampage,Cannibal Corpse,7tLevkJnFLOMtOOUmhznQa,0.152046784
Keep On Rotting in the Free World,Carcass,57Gu14wW9hFBUmJ0LpmzmA,0.965517241
Skin Her Alive,Dismember,6hoDc2TkbbqczUrBmMJywD,0.331695332
So You Die,Bloodbath,48JUQCIgAO8lI8nfEXIYbS,0.163763066
