,name,year,song_name,written_by,performed_by,composed_by,lyrics_by,written_performed_by,music_by,courtesy_of,conducted_by,libretto_by,under_license_from
0,The Shawshank Redemption,1994,If I Didn't Care ,NA,The Ink Spots ,NA,NA,NA,NA,MCA Records,NA,NA,NA
1,The Shawshank Redemption,1994,Duettino - Sull'aria ,NA,Edith Mathis (uncredited) and Gundula Janowitz (uncredited) Chor und Orchester der Deutschen Oper Berlin ,Wolfgang Amadeus Mozart ,NA,NA,NA,NA,Karl Böhm ,Lorenzo da Ponte (uncredited) ,NA
2,The Shawshank Redemption,1994,Put The Blame On Mame ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,The Shawshank Redemption,1994,Lovesick Blues ,NA,Hank Williams ,NA,NA,NA,NA,PolyGram Special Markets,NA,NA,NA
4,The Shawshank Redemption,1994,Willie and The Hand Jive ,NA,NA,NA,NA,NA,NA,Capitol Records ,NA,NA,CEMA Special Markets
5,The Shawshank Redemption,1994,A Mighty Fortress Is Our God ,Martin Luther ,Bob Gunton,NA,NA,NA,NA,NA,NA,NA,NA
6,The Godfather,1972,Mall Wedding Sequence ,NA,NA,NA,NA,NA,Carmine Coppola,NA,NA,NA,NA
7,The Godfather,1972,I Have But One Heart ,NA,Al Martino (uncredited),NA,Marty Symes ,NA,Johnny Farrow ,NA,NA,NA,NA
8,The Godfather,1972,Luna mezz' 'o mare ,NA,Morgana King (uncredited),Paolo Citarella ,NA,NA,NA,NA,NA,NA,NA
9,The Godfather,1972,Manhattan Serenade ,NA,Tommy Dorsey & His Orchestra (uncredited),NA,NA,NA,Louis Alter ,NA,NA,NA,NA
10,The Godfather,1972,Have Yourself a Merry Little Christmas ,Hugh Martin and Ralph Blane ,Al Martino (uncredited),NA,NA,NA,NA,NA,NA,NA,NA
11,The Godfather,1972,Santa Claus Is Coming To Town ,"Haven Gillespie, J. Fred Coots",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,The Godfather,1972,The Bells of St. Mary's ,NA,NA,NA,Douglas Furber,NA,A. Emmett Adams (as A.E. Adams) ,NA,NA,NA,NA
13,The Godfather,1972,All Of My Life ,Irving Berlin,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,The Godfather,1972,Mona Lisa ,NA,NA,NA,Jay Livingston ,NA,Ray Evans,NA,NA,NA,NA
15,The Godfather,1972,"Passacaglia and Fugue in C minor, BWV 582 ",NA,NA,NA,NA,NA,Johann Sebastian Bach,NA,NA,NA,NA
16,The Godfather,1972,Non so più ,NA,NA,NA,NA,NA,NA,NA,NA,Lorenzo da Ponte,NA
17,The Godfather,1972,Brindisi (Libiamo ne' lieti calici) ,NA,NA,NA,NA,NA,Giuseppe Verdi ,NA,NA,Francesco Maria Piave,NA
18,The Godfather,1972,This Loneliness ,NA,NA,NA,NA,Carmine Coppola,NA,NA,NA,NA,NA
19,The Godfather,1972,For He's a Jolly Good Fellow ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,The Godfather,1972,Antico Canto Siciliano ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,The Godfather,1972,Solid Potato Salad ,Don Raye and Gene de Paul,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,The Dark Knight,2008,Balmoral ,NA,The Pipes and Drums of the Chicago Police Department,NA,NA,NA,NA,NA,NA,NA,NA
23,The Dark Knight,2008,Scatterin' Monkey ,Masayuki Nakano and Michiyuki Kawashima ,Boom Boom Satellites ,NA,NA,NA,NA,Epic Records & Sony Music Entertainment (Japan) Inc. ,NA,NA,NA
24,The Dark Knight,2008,4 A Moment of Silence ,Masayuki Nakano and Michiyuki Kawashima ,Boom Boom Satellites ,NA,NA,NA,NA,Epic Records & Sony Music Entertainment (Japan) Inc. ,NA,NA,NA
25,The Dark Knight,2008,"Andante from String Quartet in a minor D. 804, 'Rosamunde' ",Franz Schubert,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,The Godfather: Part II,1974,Senza Mamma ,NA,Livio Giorgi,NA,NA,NA,NA,NA,NA,NA,NA
27,The Godfather: Part II,1974,Napule Ve Salute ,NA,Livio Giorgi,NA,NA,NA,NA,NA,NA,NA,NA
28,The Godfather: Part II,1974,Mr. Wonderful ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,The Godfather: Part II,1974,Heart and Soul ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,The Godfather: Part II,1974,Guantanamera ,"Julian Orbon, Pete Seeger, José Fernández Díaz, Hector Angulo and José Martí",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,The Godfather: Part II,1974,The Star-Spangled Banner ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,The Godfather: Part II,1974,For He's a Jolly Good Fellow ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,The Godfather: Part II,1974,Pop Goes the Weasel ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,The Godfather: Part II,1974,U Sciccareddu Sicilianu ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,12 Angry Men,1957,Dance of the Cuckoos ,NA,NA,NA,NA,NA,Marvin Hatley ,NA,NA,NA,NA
36,Schindler's List,1993,"Mamatschi (Mommy, Buy Me a Pony) ",Oskar Schima and Franz Xaver Kappus (as F.X. Kappus) ,Mimi Thoma ,NA,NA,NA,NA,The RCA Records Label of BMG Music,NA,NA,NA
37,Schindler's List,1993,God Bless The Child ,Billie Holiday and Arthur Herzog Jr. ,Billie Holiday ,NA,NA,NA,NA,MCA Records,NA,NA,NA
38,Schindler's List,1993,La Capricieuse Opus 17 ,NA,Itzhak Perlman on Violin and Sam Sanders on Piano ,Edward Elgar ,NA,NA,NA,EMI Classics ,NA,NA,CEMA Special Markets
39,Schindler's List,1993,Die Holzauktion ,Otto Teich ,Rudi Scherfling With the Egon Kaiser Orchestra ,NA,NA,NA,NA,BMG Ariola Muenchen GmbH,NA,NA,NA
