movie_name,soundtrack_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Shawshank Redemption,Duettino - Sull'aria ,0.269,0.0492,0.055,0.984,7.46e-06,0.246,0.111,119.088
The Shawshank Redemption,Put The Blame On Mame ,0.0821,0.159,0.04,0.534,0.958,0.119,0.0622,84.615
The Shawshank Redemption,Lovesick Blues ,0.079,0.149,0.0486,0.102,0.915,0.111,0.111,81.277
The Shawshank Redemption,Willie and The Hand Jive ,0.674,0.188,0.497,0.242,0.0163,0.0434,0.796,181.126
The Shawshank Redemption,A Mighty Fortress Is Our God ,0.0,0.0431,0.0,0.97,0.00232,0.213,0.0,0.0
The Godfather,Mall Wedding Sequence ,0.214,0.297,0.0351,0.64,0.302,0.0418,0.135,122.951
The Godfather,I Have But One Heart ,0.295,0.304,0.0331,0.651,1.68e-06,0.343,0.317,97.861
The Godfather,Luna mezz' 'o mare ,0.559,0.034,0.0789,0.991,0.933,0.101,0.43,131.529
The Godfather,Manhattan Serenade ,0.197,0.102,0.0394,0.918,0.821,0.0722,0.04,102.955
The Godfather,Have Yourself a Merry Little Christmas ,0.214,0.297,0.0351,0.64,0.302,0.0418,0.135,122.951
The Godfather,Santa Claus Is Coming To Town ,0.214,0.297,0.0351,0.64,0.302,0.0418,0.135,122.951
The Godfather,The Bells of St. Mary's ,0.198,0.221,0.0355,0.927,0.92,0.0797,0.0851,68.932
The Godfather,All Of My Life ,0.214,0.297,0.0351,0.64,0.302,0.0418,0.135,122.951
The Godfather,Mona Lisa ,0.436,0.893,0.0556,0.000362,0.0,0.103,0.0794,124.113
The Godfather,"Passacaglia and Fugue in C minor, BWV 582 ",0.0921,0.22,0.0326,0.771,0.953,0.102,0.184,75.617
The Godfather,Non so più ,0.198,0.221,0.0355,0.927,0.92,0.0797,0.0851,68.932
The Godfather,Brindisi (Libiamo ne' lieti calici) ,0.425,0.148,0.0796,0.962,0.0,0.141,0.226,68.725
The Godfather,This Loneliness ,0.191,0.238,0.0335,0.918,0.947,0.112,0.142,80.629
The Godfather,For He's a Jolly Good Fellow ,0.214,0.297,0.0351,0.64,0.302,0.0418,0.135,122.951
The Godfather,Antico Canto Siciliano ,0.198,0.221,0.0355,0.927,0.92,0.0797,0.0851,68.932
The Godfather,Solid Potato Salad ,0.214,0.297,0.0351,0.64,0.302,0.0418,0.135,122.951
The Dark Knight,Balmoral ,0.158,0.28,0.0427,0.512,0.673,0.11,0.0375,97.807
The Dark Knight,Scatterin' Monkey ,0.158,0.28,0.0427,0.512,0.673,0.11,0.0375,97.807
The Dark Knight,4 A Moment of Silence ,0.158,0.28,0.0427,0.512,0.673,0.11,0.0375,97.807
The Dark Knight,"Andante from String Quartet in a minor D. 804, 'Rosamunde' ",0.43,0.417,0.0399,0.716,0.574,0.246,0.295,99.713
The Godfather: Part II,Senza Mamma ,0.167,0.383,0.0312,0.818,0.973,0.0853,0.534,76.119
The Godfather: Part II,Napule Ve Salute ,0.545,0.555,0.056,0.854,0.862,0.219,0.742,127.243
The Godfather: Part II,Mr. Wonderful ,0.172,0.13,0.0376,0.87,0.631,0.132,0.0479,133.396
The Godfather: Part II,Heart and Soul ,0.214,0.297,0.0351,0.64,0.302,0.0418,0.135,122.951
The Godfather: Part II,Guantanamera ,0.559,0.034,0.0789,0.991,0.933,0.101,0.43,131.529
The Godfather: Part II,The Star-Spangled Banner ,0.147,0.223,0.0388,0.917,0.738,0.164,0.0423,93.497
The Godfather: Part II,For He's a Jolly Good Fellow ,0.214,0.297,0.0351,0.64,0.302,0.0418,0.135,122.951
The Godfather: Part II,Pop Goes the Weasel ,0.214,0.297,0.0351,0.64,0.302,0.0418,0.135,122.951
The Godfather: Part II,U Sciccareddu Sicilianu ,0.214,0.297,0.0351,0.64,0.302,0.0418,0.135,122.951
12 Angry Men,Dance of the Cuckoos ,0.862,0.446,0.449,0.929,0.0938,0.166,0.853,120.504
Schindler's List,"Mamatschi (Mommy, Buy Me a Pony) ",0.142,0.113,0.0415,0.859,0.838,0.107,0.0697,98.575
